Name,Org. Name,Director,Duration,Genre,Metascore,IMDB Rating,Number of awards,Awards,Description,Festival Section,URL
On the Adamant,SUR L’ADAMANT,Nicolas Philibert,,,,,2,"2023 Berlin Best Film, Special Mention–Ecumenical Jury","The latest film by Nicolas Philibert, one of the greatest documentary filmmakers of our day, world premiered at the 2023 Berlin Film Festival in February where it won the grand prize, the Golden Bear. The titular ‘The Adamant’ is a unique day care centre: it is a floating structure located on the Seine in the heart of Paris. It welcomes adults suffering from mental disorders, offering them care that grounds them in time and space, and helps them to recover or keep up their spirits. The team running it–that includes psychiatrists, psychologists, nurses, occupational therapists, specialist educators, art therapists, etc.–is one of those that try to resist the deterioration and dehumanisation of psychiatry as best it can. Earlier films by Philibert, Être et avoir / To be and to have and La Maison de la Radio were screened at the festival.",Documentary Time,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/on-the-adamant
In Water,MUL-AN-E-SEO,Hong Sang-soo,75 min,Drama,,6.4,0,,"One of the most prolific directors of our time, South Korean master Hong Sang Soo’s new film, In Water, premiered at the 2023 Berlin Film Festival. The film centers on a young man who decides to give up acting and become a director, and travels around Jeju Island with a small crew consisting of a cameraman and an actor to shoot a short film. The director becomes part of the blurry landscape while waiting for inspiration and the right light. In Water, which is shot almost entirely out of focus, invites the audience to play a game; it moves forward with references to Hong Sang Soo’s own filmography and life, tells its story with long dialogues, and is never afraid to take risks.",Specter,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/in-water
"Jeanne Dielman, 23 Quai Du Commerce, 1080 Bruxelles","Jeanne Dielman, 23 Quai Du Commerce, 1080 Bruxelles",Chantal Akerman,202 min,Drama,94.0,7.6,0,,"Voted in Sight & Sound’s 2022 critics poll as the ‘greatest film of all time,’ Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles is a minimalist, feminist film in a realist vein that has reached cult status over the years. Premiering in the Directors’ Fortnight section of the 1975 Cannes Film Festival, this is the second feature directed by Chantal Akerman’s, who was only 25 when she made it. Jeanne Dielman shows us what directors generally choose to omit (the recurring details of daily life in real time,) and for three days follows a housewife, a widow who lives with her teenage son, and who prostitutes herself at home in order to make ends meet. According to Criterion, this is ‘one of cinema’s most hypnotic and complete depictions of space and time.’",Cinemania,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/jeanne-dielman-23-quai-du-commerce-1080-bruxelles
The Exorcist,The Exorcist,William Friedkin,122 min,Horror,81.0,8.1,0,,This film is screened with the generous support of the U.S. Mission to Turkey.,A Rebel in Hollywood: William Friedkin,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/the-exorcist
Neneh Superstar,Neneh Superstar,Ramzi Ben Sliman,95 min,"Comedy, Drama",,,0,,"Neneh is a 12-year-old black girl, who dreams of becoming a ballerina at the famed Paris Opera Ballet School. Despite her enthusiasm, Neneh will have to redouble her efforts to be accepted by the inflexible director of the school, Marianne Belage, who is the guarantor of traditions and the bearer of a secret. Struggling to break a glass ceiling, Neneh will never give up on her dream while the instructors and administrators persist in believing that black women have no place onstage as part of the classical repertoire. Director Ramzi Ben Sliman, who wrote the role of Marianne Belage especially for Maïwenn, selected dancer Oumy Bruni Garrel to play Neneh, who also said that being black she suffered similar setbacks in the world of classical dance.",No More Flowers,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/neneh-superstar
Heyula Shorts Programme 1,Heyula Shorts Programme 1,,,,,,0,,(°) This screening will begin later than announced due to the duration of the previous film.,{{item.headline}},http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/heyula-shorts-programme-1
The Sitting Duck,LA SYNDICALISTE,Jean-Paul Salomé,121 min,"Drama, Thriller",,,0,,"A political and psychological thriller, The Sitting Duck tells the true story of Maureen Kearney, the head union representative of a French multinational nuclear powerhouse. She became a whistleblower, denouncing top-secret deals that shook the French nuclear sector. Alone against the world, she fought government ministers and industry leaders, tooth and nail to bring the scandal to light and to defend more than 50,000 jobs...Her life was turned upside down when she was violently assaulted in her own home... The investigation is carried out under pressure: the subject is sensitive. Suddenly, new elements create doubt in the minds of the investigators. At first a victim, Maureen becomes a suspect. Isabelle Huppert in the lead as Maureen, The Sitting Duck premiered at the Venice Film Festival’s Orizzonti section.",No More Flowers,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/the-sitting-duck
To Pick a Flower,To Pick a Flower,Shireen Seno,17 min,Short,,,0,,(°) This screening will begin later than announced due to the duration of the previous film.,Specter,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/to-pick-a-flower
The Crime Is Mine,MON CRIME,François Ozon,102 min,"Comedy, Crime, Drama",,,0,,"Following Peter Von Kant,François Ozon returns with a wild comedy lead by two rising stars of French cinema: Nadia Tereszkiewicz (who won the César for Best Newcomer for Les Amandiers) and Rebecca Marder, supported by an A-list cast of French superstars. Already praised as one of Ozon’s best films, The Crime Is Mine is a mischievous drama and detective comedy set in the 1930s, where two friends, Madeleine and Pauline take advantage of the gullibility and idiocy of all the men they meet. The Crime Is Mine is ‘ultimately about the triumph of sorority,’ according to Ozon, who was inspired by American screwball comedies from the 1930s. The absolutely hilarious film follows Madeleine Verdier, a young, pretty, penniless and untalented actress, who is accused of murdering a famous producer. With the help of her best friend Pauline, a young unemployed lawyer, Madeleine presents herself as a grieving victim who must be celebrated for her act instead. The greatest surprise is the one and only Isabelle Huppert, who appears halfway through the film.",Galas,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/the-crime-is-mine
Tommy Guns,NAÇÃO VALENTE,Carlos Conceição,,Short,,,2,"2022 Locarno Junior Jury Award, Europa Cinemas Label","In 1974, in the thirteenth year of the liberation war, the Portuguese and their descendants fled Angola where nationalist groups gradually claimed their territory back. A tribal girl discovers love and death when her path crosses that of a Portuguese soldier. Then, a Portuguese squad barracked inside an infinite wall from which they will have to escape once the past comes out of the grave to claim its long-awaited justice. ‘Tommy Guns is a reflection on history, on political hatred and fear, and a portrait of the metaphysics of tyranny. It’s meant as a reflection on the cyclic nature of fascism and how to this day it remains a threat to evolution.’ Directed by Angola-born Portuguese filmmaker Carlos Conceição, Tommy Guns made its world premiere at Locarno Film Festival’s main competition.",Best of The Fests,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/tommy-guns
Property,PROPRIEDADE,Daniel Bandeira,92 min,Drama,,6.0,0,,This film is screened with the generous support of the Consulat General of Brazil.,Mined Zone,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/property
"Too Early, Too Late",TROP TÔT/TROP TARD,"Jean-Marie Straub, Danièle Huillet",100 min,Documentary,,5.6,0,,"Inspired by a letter written by Friedrich Engels and a 1974 account of two militant Marxist writers who had been imprisoned by the Nasser regime, directors Straub & Huillet filmed Too Early / Too Late in France and Egypt during the anxious months of 1980 that followed the Camp David Accords and culminated in Anwar Sadat’s assassination the following year. The filmmakers reflect on Egypt’s history of peasant struggle and liberation from Western colonization, and link it to class tensions in France shortly before the Revolution of 1789, quoting texts by Friedrich Engels. Co-director Danièle Huillet passed away in 2006 and Jean-Marie Straub in November 2022. On the occasion of this screening, we pay tribute to the directing duo, who left unforgettable films to the history of cinema by adhering to their unique style throughout their filmography.",Specter,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/too-early-too-late
Herbaria,Herbaria,Leandro Listorti,83 min,Documentary,,,1,2022 Mar del Plata Best Director–Argentinian Competition,"Shireen Seno’s video-essay explores the transformation and commodification of nature, through archival photographs from the American colonial occupation of the Philippines in the first half of the 20th century.",Specter,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/herbaria
Walk Up,WALK UP,Hong Sang-soo,97 min,Drama,87.0,,0,,This film is screened with the generous support of the Korean Cultural Centre and the Embassy of the Republic of Korea.,Best of The Fests,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/walk-up
To Live and Die in L.A.,To Live and Die in L.A.,William Friedkin,116 min,"Action, Crime, Drama",81.0,7.3,1,1986 Cognac Festival du Film Policier Audience Award,This film is screened with the generous support of the U.S. Mission to Turkey.,A Rebel in Hollywood: William Friedkin,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/to-live-and-die-in-l-a
"20,000 Species of Bees",20.000 ESPECIES DE ABEJAS,Estibaliz Urresola Solaguren,125 min,Drama,,,1,2023 Berlin Best Leading Performance (Sofia Otero),"An eight-year-old child struggles with the fact that people keep addressing her in confusing ways. During a summer in the country among the beehives, she explores her identity alongside the women of her family, who at the same time reflect on their own lives and desires. Basque director Estibaliz Urresola Solaguren’s tender, compassionate, emotional debut feature premiered in competition at the 2023 Berlin Film Festival. Eight-year-old Sofia Otero’s winning the best leading performance made history as the youngest award-winning actor.",Young Masters,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/20-000-species-of-bees
Sounds of Heaven,GÖK KUBBENİN SEDALARI,Mesut Tufan,,,,,0,,"İstanbul’s religious music scene has always been tremendously assorted and colourful since the city was not only the capital of empires, but also the heart of main monotheistic religions. On this scene, Hellenes, Jews, Armenians, Syriacs, and Muslims contributed to and significantly nourished each other. Regardless of whoever influenced or affected whom, followers of different religions have had a convergence, a common art and style of expression throughout history. Music that brings humans together and connects them with the divine, despite different languages and religions, has been the most essential, effective, and dominant expression throughout history. Art, in that respect, happens to be our common cultural heritage as the most virtual product that humanity has brought forth.",Out of Competition,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/sounds-of-heaven
The Angel of Vengeance – The Female Hamlet,İNTİKAM MELEĞİ - KADIN HAMLET,Metin Erksan,86 min,Drama,,6.6,0,,"Contributing to the film reaching cult status over time, of course, in addition to the gender changes and temporal jumps, were the use of Timur Selçuk’s (‘Pireli Şarkı [The Flea Song]’) and Shostakovich’s (originally composed for Hamlet’s 1964 adaptation) compositions, the strunning performances of Fatma Girik as Hamlet, Reha Yurdakul as the uncle, and Sevda Ferdağ as the mother.",Turkish Classics Revisited,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/the-angel-of-vengeance-the-female-hamlet
Autobiography,AUTOBIOGRAPHY,Makbul Mubarak,115 min,Thriller,,7.7,1,2022 Venice FIPRESCI Prize,"A young man torn between loyalty and justice confronts the truth of his father figure that may destroy them both. Set in a rural Indonesian town, Autobiography tells the story of Rakib, a housekeeper in the empty mansion belonging to retired general Purna. Rakib’s family has served Purna’s family for centuries. Rakib bonds with the older man, who becomes a close mentor and father figure. But his loyalty and commitment to the old man kicks off an escalating chain of violence. ‘There’s no contract because it’s a contract of blood. It’s actually a very feudal structure. It still exists and I find this relationship very fascinating,’ says Indonesian director Makbul Mubarak, for his debut feature that had its world premiere at Venice Film Festival’s Orizzonti section.",Young Masters,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/autobiography
When You Finish Saving the World,WHEN YOU FINISH SAVING THE WORLD,Jesse Eisenberg,88 min,"Comedy, Drama",61.0,5.6,0,,"Celebrated actor Jesse Eisenberg’s directorial debut stars A-list actors including Alisha Boe (from 13 Reasons Why), Julianne Moore, Emma Stone, and Finn Wolfhard (from Stranger Things). The film follows Evelyn, a social worker who has devoted herself to helping people in hard times, but who struggles to connect with her arrogant son Ziggy, an aspiring internet star oblivious to the problems of the world. This emotional and poignant comedy reveals a funny and sharply perceptive portrait of a mother and son who may seem at odds but who are more alike than either would care to admit. Tackling love, sacrifice, and the delicate balance of caring for oneself and others, When You Finish Saving the World premiered at Sundance and later screened within the Critics’ Week section at Cannes.",Galas,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/when-you-finish-saving-the-world
Ararat,ARARAT,Engin Kundağ,115 min,"Drama, War",62.0,6.3,0,,This film is screened with the generous support of the German Films.,Young Masters,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/ararat
Cruising,Cruising,William Friedkin,102 min,"Crime, Drama, Mystery",43.0,6.5,0,,This film is screened with the generous support of the U.S. Mission to Turkey.,A Rebel in Hollywood: William Friedkin,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/cruising
The Plough,LE GRAND CHARIOT,Philippe Garrel,72 min,Drama,,5.7,1,2023 Berlin Best Director,"French master filmmaker Philippe Garrel’s latest film that premiered at the 2023 Berlin Film Festival in February stars his real-life children Louis, Esther, and Lena. ‘The Plough’ is a constellation of four stars. It is also a puppet theatre. This is the story of a family of puppeteers: three siblings Louis, Martha and Lena; their father, who directs the troupe; and the grandmother, who makes the dolls. Together, they are a company and put on puppet shows. One day, following a performance, the father dies of a stroke, leaving his children alone. Philip Garrel explores themes of love, friendship, family, grief, time and artists as tormented souls in a world where traditions tends to diminish. Puppeteering was the profession of Philippe Garrel’s father Maurice before he became an actor.",Best of The Fests,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/the-plough
Sixteen,16 ANS,Philippe Lioret,138 min,"Drama, Romance, Thriller",,6.3,0,,"Evoking Romeo and Juliet in a modern setting, Sixteen examines the power of true love and first love in the face of social constraints through a realistic, convincing, and moving approach. Nora and Leo, 16, live in the same town, in the same suburbs, go to the same highschool, but everything opposes them: their social backgrounds, their families’ religions, their everyday lives. Yet, they fall in love at first sight. But from a theft accusation bringing into conflict both their families, their love story will have to face a series of trials and dramas. Leading actors Sabrina Levoye and Teïlo Azaïs, are actually 16-year-old as the title states. Frequently tackling family, social bonds, and couples in his films, Philippe Lioret’s previous films Welcome and Toutes nos envies / All Our Desires were screened earlier at the festival and Filmekimi.",Best of The Fests,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/sixteen
Blanquita,Blanquita,Fernando Guzzoni,94 min,Drama,77.0,,1,2022 Venice Best Screenplay – Horizons,"Eighteen-year-old Blanca openly accuses a senator of rape, abduction and torture; moreover, she herself was only a child at the time of the acts. Blanca’s head is high as she exposes this influential figure’s involvement in a paedophile ring. However, it takes her a while to realise that she is not only taking on the respected senator, but also the media, bureaucracy, politics, and the church. The vortex of injustice intensifies, the suspicious questions increase, and Blanca’s involvement in these sordid scandals is called into question. With a camera that almost never leaves the unyielding face of Laura López as Blanca, Blanquita evokes the spirit of detective thrillers by never losing its tension, building up a suffocating atmosphere that leaves the viewer as breathless as Blanca, as if to prove that one can never get rid of the ghosts of the past. Blanquita is Chile’s Oscar candidate.",No More Flowers,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/blanquita
Atlantic Bar,Atlantic Bar,Fanny Molins,77 min,Documentary,,,2,"2022 Champs-Elysées (France) Jury Prize, Public Prize","At l’Atlantic Bar, Nathalie, the owner, is at the centre of attention. Here, people sing, dance and hold each other close. When the bar is put up for sale, Nathalie and the regulars are faced with the end of their world and the loss of a place, at times harmful, but desperately needed. The first feature-length documentary of Fanny Molins finds overflowing humanism, warmth, life, encounters, love, and drama at a bar in Arles, south of France. The very last place of the patrons and the owners where they find a sense of solidarity, where their story becomes a political one that invites us too against the threat of the voracious appetite of gentrification. World premiering at the ACID side section at Cannes in 2022, Atlantic Bar was praised for being ‘between Depardon, Wiseman, and Bukowski.’",International Competition,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/atlantic-bar
Rule 34,REGRA 34,Julia Murat,100 min,Drama,,6.0,1,2022 Locarno Best Film,This film is screened with the generous support of the Consulate General of Brazil.,{{item.headline}},http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/rule-34
De Humani Corporis Fabrica,De Humani Corporis Fabrica,"Lucien Castaing-Taylor, Véréna Paravel",115 min,Documentary,,7.3,1,2023 Luxembourg Documentary Award,"Documenting the corridors of Paris hospitals, surgeries, doctors’ conversations, births and deaths, this shocking documentary takes a look at the landscape of the human body, edited from 350 hours of raw footage shot in hospitals. Known for their anthropological documentaries, this new film by Lucien Castaing-Taylor and Véréna Paravel premiered at the 2022 Cannes Film Festival and made a huge impression. Critics described the film as hypnotizing, while some audience members left the theater after being shocked by the uncensored footage of surgeries.",Specter,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/de-humani-corporis-fabrica
Remains of the Wind,RESTOS DO VENTO,Tiago Guedes,127 min,Drama,,7.2,1,2022 Lucca FF (Italy) Best Film,This film is screened with the generous support of the Instituto Camões and the Embassy of Portugal.,Best of The Fests,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/remains-of-the-wind
The Eternal Daughter,THE ETERNAL DAUGHTER,Joanna Hogg,96 min,"Drama, Mystery",80.0,6.0,0,,"The Eternal Daughter, the most recent film by Joana Hogg who achieved great success with the extraordinary family dramas The Souvenir, The Souvenir: Part II, and Archipelago, had its world premiere at the Venice Film Festival. Executive produced by Martin Scorsese, the film stars Tilda Swinton as a film director and her mother, both of whom lodge at an old hotel where they confront memories and hidden truths. Included in the US National Board of Review’s Top 10 Independent Films list, The Eternal Daughter is an extraordinary gothic ghost story that depicts how we in retrospect try to understand our own soul in a world surrounded by the unknown and mysteries.",Mined Zone,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/the-eternal-daughter
Tavuri,Tavuri,Derviş Zaim,,,,,0,,"Tavuri tackles the notions of crime, crime addiction, society, and freedom through Mustafa Serttaş, a.k.a. the Devil (Tavuri,) who has spent half his life behind bars for theft and fraud. Mustafa Serttaş, a primary school dropout raised in a poor, broken home in Cyprus, started to steal in his childhood years. He later developed this early experience into a lifestyle or, as he put it, an ‘obsession.’ The director, Derviş Zaim, knew Mustafa Serttaş from the age of eight. Zaim managed to film the final five years of his life, right up until his death. Some of the shooting was carried out in prison where Serttaş served time. At the opening of the film, the director visits his old friend in prison to reveal the questions in his mind: after being released from prison, will Tavuri be able to create a new life for himself or would he choose a slow-paced suicide? Is it possible to show him compassion although he is the biggest ‘con artist’ of the country?",Out of Competition,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/tavuri
Afire,ROTER HIMMEL,Christian Petzold,30 min,"Comedy, Romance",,7.0,1,2023 Berlin Grand Jury Prize,This film is screened with the generous support of German Films.,Galas,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/afire
Men of Deeds,OAMENI DE TREABĂ,Paul Negoescu,105 min,"Comedy, Crime, Drama",,,1,2022 Cottbus Outstanding Performance (Iulian Postelnicu),"A dark comedy set in a place where nothing normally happens, but also anything could happen at any moment... A traditional, patriarchal society that dictates young boys to be strong men... And Ilie—a failed man, a mediocre police chief, who wants to build a modest comfortable life for himself, but ends up making the wrong choices. Middle-aged and alienated, Ilie feels the need to be a part of something: to build an orchard, even a home. Although dubious things happen in the village, Ilie only sees what suits him. The moment he gets involved in the village marks the beginning of his collapse. He tries to be the justice seeker who arrests everyone guilty, but the incompetent anti-hero that he is, he is doomed to fail. Debuted at Sarajevo Film Festival and praised by critics as ‘Twin Peaks with a surreal and bewildered style,’ Men of Deeds is an absurd crime story with a light-dark humour that easily captures the audience.",Best of The Fests,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/men-of-deeds
Here,HERE,Bas Devos,89 min,"Crime, Drama",84.0,6.7,0,,"İstanbul’s religious music scene has always been tremendously assorted and colourful since the city was not only the capital of empires, but also the heart of main monotheistic religions. On this scene, Hellenes, Jews, Armenians, Syriacs, and Muslims contributed to and significantly nourished each other. Regardless of whoever influenced or affected whom, followers of different religions have had a convergence, a common art and style of expression throughout history. Music that brings humans together and connects them with the divine, despite different languages and religions, has been the most essential, effective, and dominant expression throughout history. Art, in that respect, happens to be our common cultural heritage as the most virtual product that humanity has brought forth.",Specter,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/here
Heyula Shorts Programme 2,Heyula Shorts Programme 2,,,,,,0,,(°) This screening will begin later than announced due to the duration of the previous film.,{{item.headline}},http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/heyula-shorts-programme-2
The 40 Years After Fatma,FATMA'DAN SONRA 40 YIL,Sezer Ağgez,,Documentary,,,0,,"Directed by Suha Arın in 1979, Tahtacı Fatma is one of the earliest documentaries on the ethnic Tahtacı community. In an interview conducted in 1999, Suha Arın mentions that he wished to make a follow-up film that includes updated information about their conditions as he had not been in touch since several years. However, Arın passed away in 2004 without realizing his wish. Why was Arın curious again about a community whom he already worked with twenty years earlier? The 40 Years After Fatma observes the changes which Tahtacıs went through, with the company of documentarists who worked with Suha Arın back in 1979, at their native land.",National Documentary Competition,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/the-40-years-after-fatma
Till the End of the Night,BIS ANS ENDE DER NACHT,Christoph Hochhäusler,90 min,Drama,,3.7,1,2023 Berlin Best Supporting Performance (Thea Ehre),This film is screened with the generous support of German Films.,Best of The Fests,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/till-the-end-of-the-night
Bug,BUG,William Friedkin,102 min,"Drama, Horror, Thriller",62.0,6.1,1,2006 Cannes FIPRESCI Prize–Directors’ Fortnight,This film is screened with the generous support of the U.S. Mission to Turkey.,A Rebel in Hollywood: William Friedkin,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/bug
Confrontation,YÜZLEŞME,Filiz Kuka,10 min,"Short, Drama",,7.2,0,,"Hızır loses his wife Halime, who has been in intensive care for a long time. Her daughter, Hatice, learns from the nurse Evren, who had been devotedly helping her ailing mother, that he caused her mother’s death. Hatice tries to be compassionate to her father, who comes to her house. She refrains from revealing the truth to him, but after a while, she can’t keep this secret anymore and shares it with her sister, Kader. While thinking that they should tell Evren’s confession to their father, Kader thinks they should go to the police. Kader’s persistence on her sister creates an existential problem for Hatice, who is crushed under the weight of Evren’s confession. All family members have to face the truth at a family dinner.",National Competition,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/confrontation
The Super 8 Years,LES ANNÉES SUPER-8,"Annie Ernaux, David Ernaux-Briot",60 min,"Documentary, Biography, Drama",87.0,,0,,"Written and narrated by Annie Ernaux, the winner of Nobel Prize in Literature in 2022, and directed by her son David Ernaux-Briot, The Super 8 Years is a recollection of Annie Ernoux’s 8mm souvenirs before her breakthrough as a writer: ‘In re-viewing our super eight films shot between 1972 and 1981, it occurred to me that they comprised not only a family archive but a testimony to the pastimes, lifestyle, and aspirations of a social class in the decade after 1968. I wanted to incorporate these silent images into a story which combined the intimate with the social and with history, to convey the taste and colour of those years.’ The author of some twenty works of fiction and memoir, including A Man’s Place, A Woman’s Story, The Possession, The Years, and Happening, Annie Ernaux is considered by many to be France’s most important literary voice. David Ernoux-Briot says ‘I have always known these images, they have been part of me and have borne me for a long time.’ ‘A magical home movie-essay on marriage, motherhood, and the whole damn thing,’ according to Little White Lies, The Super 8 Years premiered within the Directors’ Fortnight at Cannes.",Documentary Time,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/the-super-8-years
Wild Flowers,GIRASOLES SILVESTRES,Jaime Rosales,85 min,"Comedy, Drama",,5.6,0,,"Three different men, three modes of relationships and different masculinities, and Julia, a 22-year-old girl and mother of two children, falling in and out of love, on a personal journey in search of her happiness... Lead actress Ana Castila, whose natural performance as Julia is very captivating, also appears in Stories Not To Be Told, also in the programme. The latest film by Jaime Rosales, whose Hermosa Juventud / Beautiful Youth and Petra were screened at the festival at earlier editions, premiered at San Sebastian Film Festival. Director Jaime Rosales says: ‘There is something so attractive about meeting someone who is untamed: the urge to believe that we’ll be able to tame them, to change them. It is a very human thing.’",No More Flowers,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/wild-flowers
Germany Songs - Almanya Türküleri,DEUTSCHLANDLIEDER - ALMANYA TÜRKÜLERİ,Nedim Bora Hazar,,,,,0,,"This film is about a dozen beautiful songs by immigrants from Turkey in Germany. The singers and composers –from an 85-year-old folk singer to a young feminist rapper– tell the 60-year story of Turks and Kurds in Germany episodically through their songs. They are accompanied by a rock band, a string quartet, and ethnic instrumentalists performing together between 2021 and 2022 on renowned stages in Germany and in Istanbul. Director Nedim Hazar, the lead vocalist of a 1980s German-Turkish rock band, filmed this unique concert tour, recorded the songs, and spoke with the musicians, including his son Eko Fresh, one of Germany’s most acclaimed rappers.",Out of Competition,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/germany-songs-almanya-turkuleri
Dinamo Mesken,Dinamo Mesken,"Ahmet Karanfil, Yusuf Anavatan",,,,,0,,"With the immense interest of teenagers and children in football, Ertuğrulgazi Mesken Sports Club is established in 1971 in Bursa in the Ertuğrulgazi Mesken district. In 1975, Bursa S.C. is rival to the visiting Dinamo Kiev for a match. The young people of Mesken, impressed by the ideology and football of the Soviet team, rename their local team ’Dinamo Mesken.’ As political strife and armed conflicts rise by the end of the 1970s, pressure amounts, custodies and deaths taking place around the neighbourhood overwhelm the team and its players. The club is shut down based on political grounds in 1982. The players and members of the club suffer custody and torture. The massive impact of the military regime after the coup in 1982 that affected both the district and the team are told through the witness accounts of those who have lived through this exceptional period.",National Documentary Competition,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/dinamo-mesken
Man and Dog,OM-CÂINE,Ştefan Constantinescu,108 min,Drama,,,1,2022 Transilvania Special Mention,This film is screened with the generous support of the Dimitrei Cantemir Romanian Cultural Center.,Best of The Fests,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/man-and-dog
On the Fringe,EN LOS MÁRGENES,Juan Diego Botto,105 min,Drama,,6.7,0,,"On the Fringe is a tense, social thriller telling the interweaving stories of three characters, told over the course of one day. Azucena has 24 hours to prevent herself and her family being evicted from their home by the bank intent on repossessing it. Rafael is a passionate lawyer and activist who neglects his pregnant wife when he witnesses social workers and the police take a young child into care. Teodora is a grandmother in danger of losing her home, who tries to prevent her son taking all the blame. Today is a day like no other for all three characters whose lives hang in the balance in Madrid where the housing crisis intensifies. All the while, the clock continues to tick, like an unexploded bomb. A touching and gripping thriller, On the Fringe had its world premiere in the Orizzonti section of the Venice Film Festival.",Galas,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/on-the-fringe
The Kings of the World,LOS REYES DEL MUNDO,Laura Mora,103 min,"Adventure, Drama",,7.1,3,"2022 San Sebastian Best Film, SIGNIS Award, Feroz Zinemaldia Award","‘One day all men fell asleep... And the rims of the world burned.’ The Kings of the World is about solitude shared, and the disobedience, the rage, the friendship, and dignity that exist in resistance, in hope and hopelessness. Rá, Culebro, Sere, Winny and Nano. Five boys who live on the streets, five kings with no kingdom, no law, no family, on a journey in search of a promised land. A subversive tale told through a wild and endearing clan, somewhere between reality and delirium... An action-filled poetic journey to nowhere, where everything happens, through the glorious beauty of the Colombian jungle through memorable encounters... Directed by Laura Mora Ortega, who is lauded as ‘one of the greatest talents in the modern-day Latin American filmscape,’ The Kings of the World is Colombia’s official selection for the 2023 Oscars.",Best of The Fests,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/the-kings-of-the-world
Iguana Tokyo,Iguana Tokyo,Kaan Müjdeci,106 min,"Drama, Sci-Fi",,,0,,"Tokyo, the near future... Every corner of the city, every layer of society is under the spell of a virtual reality game: M². The game allows people of all ages and status to lose themselves in an alternate universe, but becomes a dangerous experience for an ordinary family, where the winning family member rules the family. As the fine line between reality and fantasy blurs, M² begins to control the family’s living spaces and redefine daily life. The rules are simple: whoever wins, sees their personal space in the house expand, and whoever has the most square meters, gets to rule the household. Fourteen-year-old Tokyo, who turns out to be the best player, is torn between reality and what she wants to be real. In this new world, which offers an easy escape from reality, only animals are left out. A giant green iguana is the only living thing able to watch people slowly lose themselves between the two worlds.",National Competition,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/iguana-tokyo
12 Angry Men,12 Angry Men,William Friedkin,96 min,"Crime, Drama",97.0,9.0,1,1997 Golden Globes Best Supporting Actor–TV (George C. Scott),This film is screened with the generous support of the U.S. Mission to Turkey.,A Rebel in Hollywood: William Friedkin,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/12-angry-men
